data,ano,mes,regiao,bioma,focos_observados
2025-01-21,2025,1,Sul,Mata Atlântica,58
2025-01-21,2025,1,Sul,Pampa,59
2025-01-21,2025,1,Centro-Oeste,Pantanal,1
2025-01-22,2025,1,Centro-Oeste,Amazônia,14
2025-01-22,2025,1,Nordeste,Amazônia,56
2025-01-22,2025,1,Norte,Amazônia,289
2025-01-22,2025,1,Nordeste,Caatinga,503
2025-01-22,2025,1,Sudeste,Caatinga,3
2025-01-22,2025,1,Centro-Oeste,Cerrado,326
2025-01-22,2025,1,Nordeste,Cerrado,178
2025-01-22,2025,1,Norte,Cerrado,6
2025-01-22,2025,1,Sudeste,Cerrado,170
2025-01-22,2025,1,Centro-Oeste,Mata Atlântica,35
2025-01-22,2025,1,Nordeste,Mata Atlântica,309
2025-01-22,2025,1,Sudeste,Mata Atlântica,290
2025-01-22,2025,1,Sul,Mata Atlântica,189
2025-01-22,2025,1,Sul,Pampa,40
2025-01-22,2025,1,Centro-Oeste,Pantanal,41
2025-01-23,2025,1,Centro-Oeste,Amazônia,44
2025-01-23,2025,1,Nordeste,Amazônia,11
2025-01-23,2025,1,Norte,Amazônia,387
2025-01-23,2025,1,Nordeste,Caatinga,410
2025-01-23,2025,1,Centro-Oeste,Cerrado,91
2025-01-23,2025,1,Nordeste,Cerrado,197
2025-01-23,2025,1,Norte,Cerrado,46
2025-01-23,2025,1,Sudeste,Cerrado,143
2025-01-23,2025,1,Centro-Oeste,Mata Atlântica,23
2025-01-23,2025,1,Nordeste,Mata Atlântica,264
2025-01-23,2025,1,Sudeste,Mata Atlântica,117
2025-01-23,2025,1,Sul,Mata Atlântica,159
2025-01-23,2025,1,Sul,Pampa,103
2025-01-23,2025,1,Centro-Oeste,Pantanal,3
2025-01-24,2025,1,Centro-Oeste,Amazônia,181
2025-01-24,2025,1,Nordeste,Amazônia,1
2025-01-24,2025,1,Norte,Amazônia,165
2025-01-24,2025,1,Nordeste,Caatinga,442
2025-01-24,2025,1,Centro-Oeste,Cerrado,391
2025-01-24,2025,1,Nordeste,Cerrado,262
2025-01-24,2025,1,Norte,Cerrado,42
2025-01-24,2025,1,Sudeste,Cerrado,164
2025-01-24,2025,1,Centro-Oeste,Mata Atlântica,28
2025-01-24,2025,1,Nordeste,Mata Atlântica,168
2025-01-24,2025,1,Sudeste,Mata Atlântica,176
2025-01-24,2025,1,Sul,Mata Atlântica,7
2025-01-24,2025,1,Sul,Pampa,12
2025-01-24,2025,1,Centro-Oeste,Pantanal,18
2025-01-25,2025,1,Centro-Oeste,Amazônia,88
2025-01-25,2025,1,Nordeste,Amazônia,1
2025-01-25,2025,1,Norte,Amazônia,87
2025-01-25,2025,1,Nordeste,Caatinga,422
2025-01-25,2025,1,Sudeste,Caatinga,1
2025-01-25,2025,1,Centro-Oeste,Cerrado,369
2025-01-25,2025,1,Nordeste,Cerrado,85
2025-01-25,2025,1,Norte,Cerrado,22
2025-01-25,2025,1,Sudeste,Cerrado,112
2025-01-25,2025,1,Centro-Oeste,Mata Atlântica,15
2025-01-25,2025,1,Nordeste,Mata Atlântica,121
2025-01-25,2025,1,Sudeste,Mata Atlântica,190
2025-01-25,2025,1,Sul,Mata Atlântica,18
2025-01-25,2025,1,Sul,Pampa,4
2025-01-25,2025,1,Centro-Oeste,Pantanal,18
2025-01-26,2025,1,Centro-Oeste,Amazônia,101
2025-01-26,2025,1,Nordeste,Amazônia,27
2025-01-26,2025,1,Norte,Amazônia,138
2025-01-26,2025,1,Nordeste,Caatinga,219
2025-01-26,2025,1,Sudeste,Caatinga,4
2025-01-26,2025,1,Centro-Oeste,Cerrado,142
2025-01-26,2025,1,Nordeste,Cerrado,158
2025-01-26,2025,1,Norte,Cerrado,12
2025-01-26,2025,1,Sudeste,Cerrado,79
2025-01-26,2025,1,Centro-Oeste,Mata Atlântica,30
2025-01-26,2025,1,Nordeste,Mata Atlântica,39
2025-01-26,2025,1,Sudeste,Mata Atlântica,73
2025-01-26,2025,1,Sul,Mata Atlântica,11
2025-01-26,2025,1,Sul,Pampa,10
2025-01-26,2025,1,Centro-Oeste,Pantanal,14
2025-01-27,2025,1,Centro-Oeste,Amazônia,141
2025-01-27,2025,1,Nordeste,Amazônia,10
2025-01-27,2025,1,Norte,Amazônia,231
2025-01-27,2025,1,Nordeste,Caatinga,298
2025-01-27,2025,1,Sudeste,Caatinga,8
2025-01-27,2025,1,Centro-Oeste,Cerrado,108
2025-01-27,2025,1,Nordeste,Cerrado,192
2025-01-27,2025,1,Norte,Cerrado,21
2025-01-27,2025,1,Sudeste,Cerrado,48
